Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
25900,81769.69736814499,82095.1834321022,82374.25237894058,82541.19753837585,82600.4147529602
25980,7691.862061619759,7662.171497941017,7629.642263054848,7594.970986247063,7561.43219769001
26960,26205.80606162548,26219.92863714695,26230.664923787117,26244.254782795906,26258.712634444237
27360,6492.780521512032,6487.498059868813,6482.293829321861,6476.646289229393,6470.7789570093155
28050,25230.77465593815,25141.524150967598,25027.99965441227,24906.931445002556,24806.128814816475
28260,113222.04768657684,113464.86210823059,113644.67442035675,113807.69312381744,113943.72582435608
28300,35027.51141786575,35962.15695142746,36746.04743719101,37457.9131603241,38152.39667892456
28670,7237.309589982033,7248.660549521446,7259.191945195198,7270.460948348045,7280.463352799416
29780,32844.78187561035,32867.01440811157,32885.655760765076,32911.07714176178,32939.47875499725
30000,24537.10325062275,24570.243433117867,24606.646969914436,24644.15319263935,24679.871276021004
30190,17383.044585585594,17297.0499843359,17209.07725393772,17121.696844697,17042.19914972782
30200,35693.74233484268,35708.57644081116,35720.23659944534,35755.67156076431,35816.27458333969
30520,20494.8540776968,20616.36932194233,20710.36584675312,20759.129896759987,20764.486864209175
31390,5657.026544213295,5657.026544213295,5657.026544213295,5657.026544213295,5657.026544213295
31430,31625.479459762573,31751.148402690887,31838.50646018982,31923.27916622162,32026.730477809906
32190,12895.988300442696,12854.12348806858,12811.603024601936,12770.85579931736,12735.074386000633
32300,33477.56713628769,33432.4911236763,33419.36320066452,33372.81942367554,33303.05963754654
32350,15651.868656277657,15580.041334033012,15521.364286541939,15462.035313248634,15417.376533150673
32500,32002.2851228714,31950.026750564575,31885.981559753418,31827.114522457123,31773.86522293091
32620,7195.537909865379,7189.733907580376,7184.198126196861,7179.291918873787,7173.890247941017
32640,13218.378648161888,13190.44642150402,13173.49262535572,13162.361457943916,13155.361637473106
32830,64745.66459655762,64882.829785346985,65015.219151973724,65162.71084547043,65309.65864658356
33290,7323.2632130384445,7316.32299721241,7309.878244996071,7302.848622202873,7296.508178114891
33310,7043.996825814247,7042.678073048592,7041.9032126665115,7040.908560156822,7039.206102490425
33640,29152.30579674244,29129.376634955406,29083.790257573128,29021.90573513508,28976.192697882652
33780,82497.5073337555,82639.98478651047,82784.36958789825,82930.5425286293,83061.88881397247
34020,20141.36128127575,20143.70448887348,20139.893516898155,20126.26640498638,20104.864612221718
34220,17224.48877990246,17196.58263027668,17174.32029545307,17152.683809399605,17130.26501238346
34230,15374.528244137764,15334.641560912132,15289.271250367165,15244.530513882637,15214.646235108376
34730,251890.00368118286,251579.28466796875,250825.04749298096,249774.82855319977,248678.5501241684
35080,14075.79518854618,14468.951150774956,14982.77299106121,15513.87645304203,16032.660380005836
