Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
60,39327.27501588325,39676.683857743854,39778.822392615984,40759.779550581276,39896.32753460909
80,35466.61605831011,35187.9633795219,34949.271835807,35556.70559392466,35928.812092539294
100,58374.132604699254,59456.42022133551,59231.20610252554,59637.58641474636,59856.5485091831
120,124543.67296701678,122658.62636765727,125078.57889768704,125328.7282757903,127405.58378561017
150,79775.6507766919,80885.93549193676,80447.87949462704,80667.89283899564,80721.74680094593
240,14113.886702475265,14036.268084051906,14310.757983347343,13950.86148966031,14067.825567550737
250,42300.54418933323,43216.356204913405,43822.607674576226,44353.430097020944,44456.33394014092
270,83743.47456030789,83808.27073019271,83312.20863132407,82525.39112174447,82307.95446612107
660,112434.30850200843,112632.52509757681,108414.48523147863,107731.59657146115,103507.3562518409
670,661673.6711501562,666143.7944937436,666347.8059125252,672937.9124311119,673120.7954809562
720,40886.839163285804,40953.74681003663,41804.071400389534,42189.02603692205,42241.66437412497
810,200486.72443377235,199592.53166876166,197812.1797314833,198499.18054359418,196398.52670681386
880,27958.305530042828,27920.006628280862,27496.944546034527,27435.063645535865,27637.28879874016
990,73056.60849606048,73793.3728602273,70081.14077848727,69880.36956324072,69545.54505865605
1230,17224.77766106475,17384.51735766751,17301.09061538421,17628.48789947221,17716.622897549354
1440,2087.542523475407,2181.7378845710496,2114.251704513329,2090.7793622135373,2091.0330436756803
1450,30207.533282985954,30496.019460336498,30475.098957134345,30179.639847263334,30043.599222200522
1740,4663.659958955905,4636.519709513557,4580.750515601092,4599.359549266864,4615.617798507651
2380,340142.1923598354,342234.07607548597,336873.12133383926,346874.76415540045,343370.01724106213
2790,42903.63721200176,43320.07783281648,43484.755225417546,43409.556546751875,43213.15637506052
3000,10584.88824156463,10724.662024878136,10570.048867678403,10472.867784027945,10525.000872776705
3090,28583.029557434125,29108.47701013761,29253.417812861364,29704.216540066584,29726.75922825172
3380,10193.171679695126,9952.619857544738,10044.131934363795,10083.694997648428,10069.365859501422
3410,7790.19621605713,7778.786461433319,7698.75475667231,7757.258512454856,7735.2037652438885
3490,28775.265041468087,28675.329342823028,28652.822146541374,28483.64650596266,28576.71850801458
3670,134454.01400473874,132094.806927425,127013.28661139405,131599.79009067116,131881.6869446304
3800,42804.26231606898,42767.68103929624,42382.33388025626,42371.10273881106,42020.86692665928
4000,83511.84233429661,83644.63664295484,83324.13134720453,83175.62640801324,84112.55952597043
4020,40215.36140979758,40287.98706706129,40461.08264238214,40638.89538103346,41103.911855903316
4170,247607.4669137955,246882.86110517272,245988.2387265269,244368.9867515657,244780.5547122822
4370,277798.67988092155,277407.92780831625,276025.2597834376,274898.28796702134,274781.86521670996
4490,59491.99492493823,62447.01347843815,62297.17575276271,62243.41868481028,62075.82290083776
4800,82089.51339835215,82105.08000123814,82117.5511772465,82906.24698905431,83208.86578015621
4990,34009.0168660203,33983.86974225449,33629.53208184258,34062.34820023778,34143.278362506026
5250,20252.939481527636,21044.079912168898,20368.53610292465,20673.93860004011,21325.99217474387
5290,42949.66346373944,44461.83425343467,43748.50154948241,42993.063992601674,42195.048486129555
5300,181142.90619524734,182278.29767777573,181081.90076412773,190761.83999741994,185629.24620375418
5380,185550.0758978729,187272.9725662835,184841.31491543644,182971.24039130876,183869.7621855037
5385,92288.6042391229,92927.62762422027,92764.1727678678,92558.5425027912,92984.51643343612
5387,92597.1882270628,93102.61061906388,92478.21467680403,92047.39966066541,91892.29802728789
5490,290655.8744495364,291069.7203496302,289083.71706034575,290084.9445917307,292814.36570834584
5830,63337.91104143959,64947.67298425132,65543.50817740099,64778.20273950138,64508.60308136446
5850,29746.00242466663,29274.277458203593,29117.784650255515,29319.26986891484,29275.54300257527
5930,68093.65263268232,67966.48941497564,66534.61529058116,66352.6655197364,65949.70298428588
5935,60774.20917076677,60262.66025213824,59323.95255818056,59797.31980172128,59767.104179125745
5940,10195.22048325746,10285.199949219377,10341.623023623928,10413.54954402387,10462.601007518393
6260,60922.05222428506,59482.00973577265,59464.005135681306,58966.82807466407,58819.401431899736
6280,180102.04720343044,186679.38664342093,186071.4572243599,188757.37025900578,191061.59016590723
6360,37921.33301443479,37972.66356479745,38674.301797481225,39153.71442417032,39450.24903525467
6400,600248.0646015229,607079.2544022558,581008.3588828214,582359.9872530409,577886.3760955251
6650,148459.99478513675,148611.00337621753,146099.76710918656,146280.96656750145,146375.1136909424
6730,9304.385157276123,9259.321573999543,9108.183094318994,9129.14838750663,9181.682715048566
6800,7938.775286782985,7941.843605375161,7931.1126651588365,7943.752857320213,7918.465417846101
7070,26104.54541032094,26109.57167596771,25947.67990578375,25893.230564175472,25860.740574528205
7310,447385.2081341541,451824.39506290504,449062.5675722423,446758.9006332714,441174.1954820453
7390,17800.136492241225,17705.370627930657,17135.47258107409,17409.810858768153,17474.86801448274
8560,6017.010939506327,6056.569000574543,6031.038338713624,6100.45820933448,6081.326765426113
8770,74047.01680432099,73954.19016754963,73702.96521914344,73985.64411461976,74340.15823400146
8930,47222.0439430572,48828.812536359845,48500.82986457295,49908.194554273854,49349.18689321507
9150,158477.06305843525,158963.1601243583,153112.4681146031,151973.98359766058,149797.15184832527
9240,67580.62722185379,68349.2544574342,68618.09413038874,68257.88685412458,67805.52899821315
9540,87725.85810227334,87793.13889404679,86630.4072960875,86444.30889115983,88443.94879787165
9830,32997.721628510546,32423.203195523776,31784.764563331904,32207.709401018357,35114.63446348681
9900,23269.69599824863,23279.316568784165,23102.72088871883,23464.629449091386,22581.490457319098
10060,110278.90106235135,107917.60307204413,104313.50814404285,107365.93920265268,116429.4470796551
10120,49366.30849501887,48871.39875520751,48701.55959827144,48933.648603066205,48202.49188812009
10130,571377.2743411307,575839.7063459834,563536.7753312786,566993.2816977403,574798.1640153032
10620,78281.25950717795,78364.46229270754,78014.11793860122,78267.60730223647,82608.23967708804
10780,48400.81492767637,48710.48777568359,48126.09807774995,48634.99888350138,48590.32533414809
10950,105151.89304698003,103725.30130137538,102201.87797785226,104696.7440595902,105197.3234831129
11000,12337.956166360724,13126.88349959549,13213.18552641165,12929.946495689455,12555.179681674552
11070,343592.51970440266,364516.7431401305,356667.4224400807,377948.1657913364,373035.7700058796
11170,199640.66477655186,200139.72738535245,196689.36444806465,195223.2132436774,196170.18602185493
11200,30031.910063548712,31262.28687564857,32023.184302959322,32042.126450744665,32365.143388540153
11210,64507.24998567619,64831.30921326809,63248.894728803585,63475.11054737342,63444.86410692084
11780,152664.27259174015,154615.10981325302,152850.72764261515,154293.0225891679,153789.81346103625
12330,200534.93068988895,201569.5731603398,198394.1338792216,201031.95609804138,200297.56669111826
12450,51008.937694595836,51892.18522837625,50969.99511564236,51482.045131705134,53027.47979038097
12510,38069.1777250224,38104.77313977947,37799.55668441496,37621.489161782076,37829.60216884013
12750,71361.011495724,72489.4559820462,72775.54311406064,72451.9917126754,72508.59444488713
13120,4961.821293718858,4966.887520660035,4886.646591756031,4882.087216356746,4857.152435751383
13890,58527.67601661658,59324.51658634492,59314.899234018085,61247.440699603525,59951.395644508535
14680,268150.07175484125,266149.89627142774,254406.54224143823,252686.914642008,249977.4720744582
15750,5023.235107349483,4956.976563737236,4961.6654965952785,4940.548101134191,4913.528488009857
15760,22750.425871809537,22717.414187666924,23433.431829478133,23474.536623885346,23700.35277630596
16360,37606.69431016356,37757.610357611855,38001.83026844292,38184.352761412956,38443.582368794494
16380,16698.622629897593,16527.90314201547,16768.070066674063,16557.42576789669,17460.380297984957
17670,58225.68412856692,57269.92292744157,56516.20293270332,56468.3429344225,56901.49619107211
17800,33978.852208792945,34089.5905383191,33754.981360511585,33831.23714455363,33790.637577443296
18260,146255.60321662668,146631.24442322203,146175.61139020688,147051.61526118347,147521.480579101
18880,10839.813044825021,10797.31210669314,10885.405740738483,11019.15739349414,10993.104782941313
19170,28169.03739867128,28887.26235073998,27770.39296943582,27695.72170189149,27957.359029374373
20150,94021.84434031029,94164.55896266477,93145.5158372466,84842.97847561083,82877.09893460649
21240,70951.21766139232,71194.8254071133,70892.0172335576,71010.52287066454,70164.62370849491
22100,6158.438782003363,6260.480926758464,6144.933029004282,6207.650848953405,6128.873661335314
23530,96225.10700837403,96982.18140863167,96627.19629776702,96907.6816270121,96235.49798391503
24110,10966.346774295185,11012.324217639743,11104.159131817329,11097.952282395347,11108.490315739296
25900,85130.39129428849,85671.33941038272,84357.29855360843,82092.8841942988,81642.16500439377
25980,7937.497910167427,7908.372162477473,7750.715305618354,7754.31289335512,7769.621510443512
26960,26750.2022187455,26718.062308238448,26741.205825920548,26766.661490844075,26987.482925671942
27360,3308.5936443629816,3291.8824717951743,3236.2514441588137,3221.2620500216553,3268.8872438859235
28050,23973.73432936422,23572.494436698194,23248.917762109508,23291.219536272143,23968.18531998252
28260,116474.68813622976,117124.28405542801,114987.38098056498,116210.97109955568,115578.8891227222
28300,47386.996573664655,47959.809308648095,46809.05804899095,47381.00999253351,48032.75194233211
28670,7917.322435934072,7941.771613483724,8072.3440037159835,8012.933034672724,8009.951295581091
29780,33319.63869246461,33279.13736730179,33310.88269209744,33468.1867569325,33505.66850489205
30000,25287.637398126808,25406.399402026924,25295.959464157808,25700.949171033608,25287.113580552876
30190,16318.263799741304,16525.88960759608,16180.230372881284,16225.461121221011,16390.924536526163
30200,35766.02498450623,35779.82945139256,35697.52966486714,36698.16720540204,36967.348172860315
30520,22680.4382125959,22700.305473022963,21574.91678027854,21120.37680575173,20643.154008077887
31390,0.0,0.0,0.0,0.0,0.0
31430,35944.39903975792,32649.249055826003,32265.4881291036,35068.593160849756,34174.30387192525
