Index,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27
60,39490.65471264073,40089.66327127423,40132.83077376345,41211.32516044164,40074.91228330621
80,35580.97013616772,35333.14168650317,35080.467451209326,35786.51475477545,36160.66397267722
100,58443.429167735434,59406.94884962453,59157.106744142686,59613.791951642976,59815.00331075197
120,124367.69963205281,123138.8827288682,125880.33015321664,125915.87860036832,127763.48869004485
150,80062.77973087087,81141.82948453596,80831.37112429026,81481.08054061227,81384.58854514358
240,14119.333774633362,14063.785873028455,14363.065351889629,13911.874061585448,14085.473812060673
250,42566.859608529456,43422.47836890482,43906.71893953565,44319.1100100675,44466.82823686984
270,83805.0106885892,83951.54321696966,83369.76800853983,82634.92233709776,82479.37714356733
660,112894.94279406503,113198.18180276884,108994.06527473911,108161.82734213809,103847.50558265892
670,666286.8734127367,671418.7712784903,669890.377488344,674696.2952855834,673320.5726286132
720,41099.373036485595,41012.837691075125,41992.70894240738,42381.75262797735,42439.53673666219
810,201325.47452254483,200611.20901409327,198339.90710827347,199966.0979278653,197421.15532078574
880,28056.22025425735,27987.049442208547,27646.721195330196,27536.943073953462,27569.344732632435
990,73223.14636233782,73896.96247342163,70095.70307056069,70175.42930040647,69332.61357531794
1230,17302.56226370425,17497.222371068157,17317.753131601305,17643.283308943064,17717.408451405383
1440,2089.9460933660125,2181.8653225065123,2113.094135309147,2090.4583418816283,2091.1543390500046
1450,30203.125685510346,30659.62391400905,30540.544202292618,30351.924034562784,30190.615318525386
1740,4666.7371303233,4658.5539418681465,4588.8972305087955,4610.455769720819,4629.92269495003
2380,341847.10298901674,343380.26432472805,337908.5975602897,347611.5784628888,344668.3073684787
2790,43130.95095678741,43585.21214229153,43616.51130944788,43519.65678164151,43324.96996816249
3000,10666.731605570683,10746.4097203901,10601.089117392106,10516.46847834924,10543.104843102785
3090,28630.38687177546,29295.183453271762,29422.879933612443,29834.47678195867,29780.16432281001
3380,10212.350764965979,9986.157716543426,10029.061487274601,10103.736668992522,10075.599851197992
3410,7799.022493587598,7793.637852601212,7725.811721429746,7787.689841704081,7745.437761149957
3490,28889.97317473702,28810.55278983965,28747.28339819792,28601.400053719914,28711.483148891526
3670,136007.5010422976,133253.76068815854,127966.83092291089,132918.13511413988,133208.36887142403
3800,42931.14635991941,42855.62179515749,42443.0849510175,42568.88431717894,42149.62766404886
4000,83702.5967730939,83952.46211299044,83637.39983355872,83477.3953661838,84318.53914240423
4020,40335.947105496416,40474.69374129246,40492.08160727038,40722.739076110105,41143.94130067133
4170,248538.62274516796,248133.02264668682,246776.59560034136,244930.3175011585,245127.75270759437
4370,278296.0931691603,277756.87822904636,276671.3561782569,275797.8638894618,275440.68704759795
